Pfam domain	# of occurrences	Pfam domain Name
PF18118	2	polycomb repressive complex 2 tri-helical domain
PF08265	2	yl1 nuclear protein c-terminal domain
PF00719	2	inorganic pyrophosphatase
PF14749	2	acyl-coenzyme a oxidase n-terminal
PF18116	2	sorting nexin 17 ferm c-terminal domain
PF18151	2	domain of unknown function (duf5601)
PF17794	2	major vault protein repeat domain
PF08142	2	aarp2cn (nuc121) domain
PF16770	2	regulator of ty1 transposition protein 107 brct domain
PF16158	2	ig-like domain from next to brca1 gene
PF15519	2	linker between rrm2 and rrm3 domains in rbm39 protein
PF18293	2	caprin-1 dimerization domain
PF18396	2	tank binding kinase 1 ubiquitin-like domain
PF12205	2	g protein-coupled receptor kinase-interacting protein 1 c term
PF08143	2	cbfnt (nuc161) domain
PF07975	2	tfiih c1-like domain
PF15985	2	kh domain
PF14382	2	exosome complex exonuclease rrp4 n-terminal region
PF16533	2	stim1 orai1-activating region
PF18109	2	ferredoxin i 4fe-4s cluster domain
PF04904	2	nab conserved region 1 (ncd1)
PF01262	2	alanine dehydrogenase/pnt, c-terminal domain
PF05222	2	alanine dehydrogenase/pnt, n-terminal domain
PF17872	2	aaa lid domain
PF09079	2	cdc6, c terminal winged helix domain
PF01607	2	chitin binding peritrophin-a domain
PF03403	2	platelet-activating factor acetylhydrolase, isoform ii
PF17889	2	nlrc4 helical domain
PF01121	2	dephospho-coa kinase
PF19518	2	p190rhogap, pg1 and pg2 domains
PF16512	2	p190-a and -b rho gaps ff domain
PF18385	2	t-lymphoma invasion and metastasis cc-ex domain
PF13297	2	replication stress response sde2 c-terminal
PF09750	2	alternative splicing regulator  
PF09030	2	creb binding
PF08214	2	histone acetylation protein
PF06001	2	domain of unknown function (duf902)
PF02172	2	kix domain
PF08512	2	histone chaperone rttp106-like
PF09027	2	gtpase binding
PF20144	2	tig domain
PF09271	2	lag1, dna binding
PF09270	2	beta-trefoil dna-binding domain
PF18038	2	ferm n-terminal domain
PF03623	2	focal adhesion targeting region
PF01180	2	dihydroorotate dehydrogenase
PF02275	2	linear amide c-n hydrolases, choloylglycine hydrolase family
PF16557	2	cut1-like dna-binding domain of satb
PF16534	2	ubiquitin-like oligomerisation domain of satb
PF18410	2	basic tilted helix bundle domain
PF08539	2	hbrb-like
PF02966	2	mitosis protein dim1
PF01246	2	ribosomal protein l24e
PF13180	2	pdz domain
PF03931	2	skp1 family, tetramerisation domain
PF03947	2	ribosomal proteins l2, c-terminal domain
PF00181	2	ribosomal proteins l2, rna binding domain
PF12678	2	ring-h2 zinc finger domain
PF00238	2	ribosomal protein l14p/l23e
PF15511	2	centromere kinetochore component cenp-t histone fold
PF03465	2	erf1 domain 3
PF03464	2	erf1 domain 2
PF03463	2	erf1 domain 1
PF03876	2	shs2 domain found in n terminus of rpb7p/rpc25p/mj0397
PF00366	2	ribosomal protein s17
PF00312	2	ribosomal protein s15
PF10559	2	plug domain of sec61p
PF01329	2	pterin 4 alpha carbinolamine dehydratase
PF18345	2	zinc finger domain
PF06789	2	minar1 c-terminal domain
PF08685	2	gon domain
PF19303	2	anticodon binding domain of methionyl trna ligase
PF09354	2	hnf3 c-terminal domain
PF20145	2	armet, n-terminal
PF10208	2	armet, c-terminal
PF08540	2	hydroxymethylglutaryl-coenzyme a synthase c terminal
PF01154	2	hydroxymethylglutaryl-coenzyme a synthase n terminal
PF09280	2	xpc-binding domain
PF16579	2	adenylate sensor of snf1-like protein kinase
PF01588	2	putative trna binding domain
PF08676	2	mutl c terminal dimerisation domain
PF08558	2	telomere repeat binding factor (trf)
PF09382	2	rqc domain
PF19179	2	domain of unknown function (duf5861)
PF02629	2	coa binding domain
PF01575	2	maoc like domain
PF10509	2	galactokinase galactose-binding signature
PF14619	2	snf2-atp coupling, chromatin remodelling complex
PF08880	2	qlq
PF02089	2	palmitoyl protein thioesterase
PF02540	2	nad synthase
PF00666	2	cathelicidin
PF02969	2	tata box binding protein associated factor (taf)
PF12185	2	nup358/ranbp2 e3 ligase domain
PF08242	2	methyltransferase domain
PF02801	2	beta-ketoacyl synthase, c-terminal domain
PF00975	2	thioesterase domain
PF00698	2	acyl transferase domain
PF00109	2	beta-ketoacyl synthase, n-terminal domain
PF18589	2	obesity receptor immunoglobulin like domain
PF03450	2	co dehydrogenase flavoprotein c-terminal domain
PF01799	2	[2fe-2s] binding domain
PF01315	2	aldehyde oxidase and xanthine dehydrogenase, a/b hammerhead domain
PF00177	2	ribosomal protein s7p/s5e
PF02933	2	cell division protein 48 (cdc48), domain 2
PF02359	2	cell division protein 48 (cdc48), n-terminal domain
PF17807	2	variant ubp zinc finger
PF04952	2	succinylglutamate desuccinylase / aspartoacylase family
PF17971	2	leukemia inhibitory factor receptor d2 domain
PF17793	2	anc1 homology domain (ahd)
PF13234	2	rrna-processing arch domain
PF08148	2	dshct (nuc185) domain
PF08198	2	thymopoietin protein
PF10606	2	homer-binding domain of metabotropic glutamate receptor 
PF09173	2	initiation factor eif2 gamma, c terminal
PF02372	2	interleukin 15
PF01847	2	vhl beta domain
PF20010	2	collagen trimerization domain
PF06482	2	collagenase nc10 and endostatin
PF00494	2	squalene/phytoene synthase
PF02150	2	rna polymerases m/15 kd subunit
PF05362	2	lon protease (s16) c-terminal proteolytic domain
PF17297	2	phosphoenolpyruvate carboxykinase n-terminal domain
PF00821	2	phosphoenolpyruvate carboxykinase c-terminal p-loop domain
PF00464	2	serine hydroxymethyltransferase
PF01111	2	cyclin-dependent kinase regulatory subunit
PF14304	2	transcription termination and cleavage factor c-terminal
PF00347	2	ribosomal protein l6
PF14833	2	nad-binding of nadp-dependent 3-hydroxyisobutyrate dehydrogenase
PF00268	2	ribonucleotide reductase, small chain
PF02773	2	s-adenosylmethionine synthetase, c-terminal domain
PF02772	2	s-adenosylmethionine synthetase, central domain
PF00438	2	s-adenosylmethionine synthetase, n-terminal domain
PF04567	2	rna polymerase rpb2, domain 5
PF04566	2	rna polymerase rpb2, domain 4
PF00709	2	adenylosuccinate synthetase
PF03946	2	ribosomal protein l11, n-terminal domain
PF00298	2	ribosomal protein l11, rna binding domain
PF13460	2	nad(p)h-binding 
PF08169	2	rbb1nt (nuc162) domain
PF02267	2	adp-ribosyl cyclase
PF00883	2	cytosol aminopeptidase family, catalytic domain
PF02787	2	carbamoyl-phosphate synthetase large chain, oligomerisation domain
PF00988	2	carbamoyl-phosphate synthase small chain, cpsase domain
PF10587	2	eukaryotic elongation factor 1 beta central acidic region
PF00736	2	ef-1 guanine nucleotide exchange domain
PF02223	2	thymidylate kinase
PF01597	2	glycine cleavage h-protein
PF02310	2	b12 binding domain
PF07479	2	nad-dependent glycerol-3-phosphate dehydrogenase c-terminus
PF09247	2	tata box-binding protein binding
PF05196	2	ptn/mk heparin-binding protein family, n-terminal domain
PF01091	2	ptn/mk heparin-binding protein family, c-terminal domain
PF17284	2	spermidine synthase tetramerisation domain
PF10525	2	engrailed homeobox c-terminal signature domain
PF01834	2	xrcc1 n terminal domain
PF00237	2	ribosomal protein l22p/l17e
PF08079	2	ribosomal l30 n-terminal domain
PF02221	2	ml domain
PF06418	2	ctp synthase n-terminus
PF08784	2	replication protein a c terminal
PF03719	2	ribosomal protein s5, c-terminal domain
PF00333	2	ribosomal protein s5, n-terminal domain
PF02525	2	flavodoxin-like fold
PF18611	2	il-3 receptor alpha chain n-terminal domain
PF00120	2	glutamine synthetase, catalytic domain
PF19525	2	ets1 n-terminal flanking region of ets domain
PF02887	2	pyruvate kinase, alpha/beta domain
PF00224	2	pyruvate kinase, barrel domain
PF01012	2	electron transfer flavoprotein domain
PF01291	2	lif / osm family
PF09029	2	5-aminolevulinate synthase presequence
PF03167	2	uracil dna glycosylase superfamily
PF03731	2	ku70/ku80 n-terminal alpha/beta domain
PF02735	2	ku70/ku80 beta-barrel domain
PF05195	2	aminopeptidase p, n-terminal domain
PF17840	2	tethering ubl4a to bags domain
PF00204	2	dna gyrase b
PF01028	2	eukaryotic dna topoisomerase i, catalytic core
PF15910	2	icos v-set domain
PF05731	2	trove domain
PF00087	2	snake toxin and toxin-like protein
PF15269	2	zinc-finger
PF17048	2	neutral/alkaline non-lysosomal ceramidase, c-terminal
PF09165	2	ubiquinol-cytochrome c reductase 8 kda, n-terminal
PF01126	2	heme oxygenase
PF02881	2	srp54-type protein, helical bundle domain
PF00448	2	srp54-type protein, gtpase domain
PF02837	2	glycosyl hydrolases family 2, sugar binding domain
PF05825	2	beta-microseminoprotein (psp-94)
PF03950	2	trna synthetases class i (e and q), anti-codon binding domain
PF00708	2	acylphosphatase
PF14651	2	lipocalin / cytosolic fatty-acid binding protein family
PF14845	2	beta-acetyl hexosaminidase like
PF08934	2	rb c-terminal domain
PF17450	2	alpha galactosidase a c-terminal beta sandwich domain
PF08674	2	acetylcholinesterase tetramerisation domain
PF08777	2	rna binding motif
PF16680	2	t-cell surface glycoprotein cd3 delta chain 
PF00377	2	prion/doppel alpha-helical domain
PF16757	2	alpha-l-fucosidase c-terminal domain
PF01120	2	alpha-l-fucosidase
PF00758	2	erythropoietin/thrombopoietin
PF17790	2	macroglobulin domain mg1
PF00162	2	phosphoglycerate kinase
PF08919	2	f-actin binding
PF02729	2	aspartate/ornithine carbamoyltransferase, carbamoyl-p binding domain
PF00185	2	aspartate/ornithine carbamoyltransferase, asp/orn binding domain
PF00394	2	multicopper oxidase
PF00186	2	dihydrofolate reductase
PF02812	2	glu/leu/phe/val dehydrogenase, dimerisation domain
PF00208	2	glutamate/leucine/phenylalanine/valine dehydrogenase
PF00070	2	pyridine nucleotide-disulphide oxidoreductase
PF16482	2	staufen c-terminal domain
PF10457	2	cholesterol-capturing domain
PF09398	2	fop n terminal dimerisation domain
PF16864	2	dimerisation domain
PF00891	2	o-methyltransferase domain
PF10495	2	pericentrin-akap-450 domain of centrosomal targeting protein
PF01513	2	atp-nad kinase n-terminal domain
PF02781	2	glucose-6-phosphate dehydrogenase, c-terminal domain
PF00479	2	glucose-6-phosphate dehydrogenase, nad binding domain
PF09229	2	activator of hsp90 atpase, n-terminal
PF03147	2	ferredoxin-fold anticodon binding domain
PF03859	2	cg-1 domain
PF08755	2	hemimethylated dna-binding protein yccv like
PF17959	2	ef-hand domain
PF04960	2	glutaminase
PF19421	2	furry protein c-terminal
PF18580	2	sun2 helix-turn-helix domain
PF10431	2	c-terminal, d2-small domain, of clpb protein 
PF07724	2	aaa domain (cdc48 subfamily)
PF09045	2	l27_2
PF06155	2	gamma-butyrobetaine hydroxylase-like, n-terminal
PF02668	2	taurine catabolism dioxygenase taud, tfda family
PF01549	2	shk domain-like
PF01435	2	peptidase family m48
PF10488	2	phosphatase-1 catalytic subunit binding region
PF13883	2	pyridoxamine 5'-phosphate oxidase
PF03462	2	pcrf domain
PF02961	2	barrier to autointegration factor
PF02269	2	transcription initiation factor iid, 18kd subunit
PF11467	2	lens epithelium-derived growth factor (ledgf) 
PF13866	2	sap30 zinc-finger
PF00285	2	citrate synthase, c-terminal domain
PF09469	2	cordon-bleu ubiquitin-like domain
PF04991	2	licd family
PF11987	2	translation-initiation factor 2
PF14260	2	c4-type zinc-finger of dna polymerase delta
PF08806	2	sep15/selm redox domain
PF02799	2	myristoyl-coa:protein n-myristoyltransferase, c-terminal domain
PF01233	2	myristoyl-coa:protein n-myristoyltransferase, n-terminal domain
PF05670	2	nfact protein rna binding domain
PF09111	2	slide
PF09110	2	hand
PF13191	2	aaa atpase domain
PF16189	2	creatinase/prolidase n-terminal domain
PF16188	2	c-terminal region of peptidase_m24
PF01321	2	creatinase/prolidase n-terminal domain
PF16546	2	homodimerisation domain of sgta
PF09177	2	syntaxin 6, n-terminal
PF08311	2	mad3/bub1 homology region 1
PF17916	2	lim interaction domain (lid)
PF04280	2	tim44-like domain
PF06201	2	pith domain
PF18360	2	heterogeneous nuclear ribonucleoprotein q acidic domain
PF18086	2	diphosphoinositol pentakisphosphate kinase 2 n-terminal domain
PF14306	2	pua-like domain
PF01747	2	atp-sulfurylase
PF01583	2	adenylylsulphate kinase
PF08799	2	pre-mrna processing factor 4 (prp4) like
PF04699	2	arp2/3 complex 16 kda subunit (p16-arc)
PF01063	2	amino-transferase class iv
PF01193	2	rna polymerase rpb3/rpb11 dimerisation domain
PF01000	2	rna polymerase rpb3/rpoa insert domain
PF08557	2	sphingolipid delta4-desaturase (des)
PF16414	2	niemann-pick c1 n terminus
PF08952	2	domain of unknown function (duf1866) 
PF11764	2	compass (complex proteins associated with set1p) component n
PF12932	2	vesicle coat trafficking protein sec16 mid-region
PF18397	2	iqbal scaffold dimerization domain
PF12179	2	i-kappa-kinase-beta nemo binding domain
PF09305	2	taci, cysteine-rich domain
PF05721	2	phytanoyl-coa dioxygenase (phyh)
PF18375	2	cdh1/2 sant-helical linker 1
PF02800	2	glyceraldehyde 3-phosphate dehydrogenase, c-terminal domain
PF00044	2	glyceraldehyde 3-phosphate dehydrogenase, nad binding domain
PF19743	2	astn1/2 egf-like and fn(iii) domains
PF19441	2	astrotactin 1/2 n-terminal
PF18411	2	annexin-like domain
PF18696	2	synaptotagmin-like, mitochondrial and lipid-binding domain
PF18913	2	fructose-1-6-bisphosphatase, c-terminal domain
PF00316	2	fructose-1-6-bisphosphatase, n-terminal domain
PF08156	2	nop5nt (nuc127) domain
PF02836	2	glycosyl hydrolases family 2, tim barrel domain
PF05189	2	rna 3'-terminal phosphate cyclase (rtc), insert domain
PF01137	2	rna 3'-terminal phosphate cyclase
PF18371	2	flavin adenine dinucleotide (fad)-dependent sulfhydryl oxidase
PF18108	2	qsox trx-like domain
PF13641	2	glycosyltransferase like family 2
PF07837	2	formiminotransferase domain, n-terminal subdomain
PF14654	2	mucin, catalytic, tm and cytoplasmic tail region
PF04111	2	apg6 bara domain
PF04719	2	htafii28-like protein conserved region
PF17919	2	rnase h-like domain found in reverse transcriptase
PF01269	2	fibrillarin
PF01470	2	pyroglutamyl peptidase
PF17291	2	n-terminal domain of m60-like peptidases
PF13402	2	peptidase m60, enhancin and enhancin-like
PF01018	2	gtp1/obg
PF13872	2	p-loop containing ntp hydrolase pore-1
PF13871	2	c-terminal domain on strawberry notch homologue
PF12371	2	transmembrane protein 131-like n-terminal
PF02776	2	thiamine pyrophosphate enzyme, n-terminal tpp binding domain
PF02775	2	thiamine pyrophosphate enzyme, c-terminal tpp binding domain
PF00205	2	thiamine pyrophosphate enzyme, central domain
PF18278	1	receptor activator of the nf-kb cysteine-rich repeat domain 2
PF09047	1	mef2 binding
PF16700	1	synphilin-1 alpha-synuclein-binding domain
PF09303	1	kcnmb2, ball and chain domain
PF18619	1	gpcr-autoproteolysis-inducing (gain) subdomain a
PF18587	1	ptx/lns-like (pll) domain
PF16840	1	actin-like protein 7a n-terminus
PF19566	1	sorting nexin 8/mvp1 bar domain
PF17827	1	prmc n-terminal domain
PF17682	1	tau95 triple barrel domain
PF09439	1	signal recognition particle receptor beta subunit
PF04406	1	type iib dna topoisomerase
PF14826	1	fact complex subunit spt16 n-terminal lobe domain
PF08644	1	fact complex subunit (spt16/cdc68)
PF09309	1	fcp1, c-terminal
PF18037	1	ubiquitin-like domain
PF08292	1	rna polymerase iii subunit rpc25
PF01103	1	omp85 superfamily domain
PF16690	1	methylmalonic aciduria and homocystinuria type c family
PF18048	1	tnf receptor-associated factor 6 zinc finger 2
PF19687	1	marf1 lotus domain
PF01936	1	nyn domain
PF18479	1	pin like domain
PF13483	1	beta-lactamase superfamily domain
PF08938	1	hbs1 n-terminus
PF08694	1	ubiquitin-fold modifier-conjugating enzyme 1
PF08617	1	kinase binding protein cgi-121
PF10447	1	exosome component exosc1/csl4
PF09377	1	sbds protein c-terminal domain
PF17799	1	rrp7 rrm-like n-terminal domain
PF01791	1	deoc/lacd family aldolase
PF15906	1	zinc-finger of nitric oxide synthase-interacting protein
PF13932	1	trna modifying enzyme mnmg/gida c-terminal domain
PF01323	1	dsba-like thioredoxin domain
PF08774	1	vrr-nuc domain
PF18026	1	endo/exonuclease (exog) c-terminal domain
PF18554	1	phers dna binding domain 2
PF18553	1	phers dna binding domain 3
PF18552	1	phers dna binding domain 1 
PF08740	1	bcs1 n terminal
PF16273	1	nuclear distribution c domain
PF09070	1	pfu (plaa family ubiquitin binding)
PF08324	1	pul domain
PF18439	1	ubiquitin-binding zinc finger
PF13616	1	ppic-type ppiase domain
PF17833	1	upf0113 pre-pua domain
PF03657	1	upf0113 pua domain
PF03368	1	dicer dimerisation domain
PF16744	1	kiaa1045 ring finger
PF14807	1	adaptin ap4 complex epsilon appendage platform
PF05029	1	timeless pab domain
PF08157	1	nuc129 domain
PF08606	1	prp19/pso4-like
PF08712	1	scaffold protein nfu/nifu n terminal
PF16521	1	myosin vi cargo binding domain
PF17146	1	pin domain of ribonuclease
PF08772	1	nin one binding (nob1) zn-ribbon like
PF17123	1	ring-like zinc finger
PF18450	1	zinc finger domain
PF13892	1	dna-binding domain
PF11466	1	prion-like protein doppel
PF08911	1	nup50 (nucleoporin 50 kda)
PF18442	1	e3 gp78 ube2g2-binding region (g2br)
PF19336	1	domain of unknown function (duf5921)
PF12660	1	putative zinc-finger of transcription factor iiic complex
PF12657	1	transcription factor iiic subunit delta n-term
PF11718	1	pre-mrna 3'-end-processing endonuclease polyadenylation factor c-term
PF01814	1	hemerythrin hhe cation binding domain
PF09346	1	smi1 / knr4 family (sukh-1)
PF05011	1	lariat debranching enzyme, c-terminal domain
PF09992	1	phosphodiester glycosidase
PF08672	1	anaphase promoting complex (apc) subunit 2
PF12896	1	anaphase-promoting complex, cyclosome, subunit 4
PF04034	1	ribosome biogenesis protein, c-terminal
PF14815	1	nudix domain
PF08923	1	mitogen-activated protein kinase kinase 1 interacting
PF07985	1	srr1
PF13775	1	domain of unknown function (duf4171)
PF10233	1	uncharacterized conserved protein cg6151-p
PF03344	1	daxx n-terminal rassf1c-interacting domain
PF18703	1	malt1 ig-like domain
PF16727	1	dna repair protein rev1 c-terminal domain
PF14732	1	ubiquitin/sumo-activating enzyme ubiquitin-like domain
PF12850	1	calcineurin-like phosphoesterase superfamily domain
PF06875	1	plethodontid receptivity factor prf
PF18137	1	origin recognition complex winged helix c-terminal
PF07034	1	origin recognition complex (orc) subunit 3 n-terminus
PF10496	1	snare-complex protein syntaxin-18 n-terminus 
PF07106	1	tbpip/hop2 winged helix domain
PF12745	1	anticodon binding domain of trnas
PF09607	1	brinker dna-binding domain
PF12269	1	cpg binding protein c-terminal domain
PF00444	1	ribosomal protein l36
PF08524	1	rrna processing
PF01878	1	eve domain
PF19442	1	cysteine-rich motor neuron 1 protein c-terminal
PF04321	1	rmld substrate binding domain
PF09236	1	alpha-haemoglobin stabilising protein
PF06463	1	molybdenum cofactor synthesis c
PF08914	1	rap1 myb domain
PF08164	1	apoptosis-antagonizing transcription factor, c-terminal
PF17848	1	acetyl-coa carboxylase zinc finger domain
PF08790	1	lyar-type c2hc zinc finger 
PF09350	1	domain of unknown function (duf1992)
PF03937	1	flavinator of succinate dehydrogenase
PF14413	1	thg1 c terminal domain
PF04446	1	trnahis guanylyltransferase
PF14952	1	putative treble-clef, zinc-finger, zn-binding
PF08213	1	mitochondrial domain of unknown function (duf1713)
PF18891	1	fancl ubc-like domain 3
PF18890	1	fancl ubc-like domain 2
PF11793	1	fancl c-terminal domain
PF09765	1	fancl ubc-like domain 1
PF17797	1	rl domain
PF08158	1	nuc130/3nt domain
PF19725	1	dna-directed rna polymerase iii subunit rpc5 c-terminal
PF10590	1	pyridoxine 5'-phosphate oxidase c-terminal dimerisation region
PF01243	1	pyridoxamine 5'-phosphate oxidase
PF13287	1	fn3 associated
PF19430	1	tbc1 domain family member 23 c-terminal
PF16686	1	ssdna-binding domain of telomere protection protein
PF02765	1	telomeric single stranded dna binding pot1/cdc13
PF11722	1	ccch zinc finger in trm13 protein
PF17865	1	midasin aaa lid domain
PF03932	1	cutc family
PF06071	1	protein of unknown function (duf933)
PF06827	1	zinc finger found in fpg and ilers
PF18262	1	phe-trna synthetase beta subunit b1 domain
PF17759	1	phenylalanyl trna synthetase beta chain clm domain
PF03484	1	trna synthetase b5 domain
PF01648	1	4'-phosphopantetheinyl transferase superfamily
PF19279	1	yegs c-terminal nad kinase beta sandwich-like domain
PF04734	1	neutral/alkaline non-lysosomal ceramidase, n-terminal
PF03102	1	neub family
PF09057	1	second mitochondria-derived activator of caspases
PF09368	1	sas10 c-terminal domain
PF03454	1	moea c-terminal region (domain iv)
PF12178	1	chromosome passenger complex (cpc) protein incenp n terminal
PF16649	1	interleukin 23 subunit alpha
PF16282	1	sant/myb-like domain of damp1
PF10260	1	uncharacterized conserved domain (saysvfn)
PF12191	1	tumour necrosis factor receptor stn_tnfrsf12a_tnfr domain
PF18097	1	vta1 c-terminal domain
PF04101	1	glycosyltransferase family 28 c-terminal domain
PF20067	1	adipocyte plasma membrane-associated protein-like, n-terminal
PF18597	1	myosin x n-terminal sh3 domain
PF04603	1	ran-interacting mog1 protein
PF05889	1	o-phosphoseryl-trna(sec) selenium transferase, sepsecs
PF12938	1	m domain of gw182
PF16685	1	zinc ring finger of msl2
PF16682	1	cxc domain of e3 ubiquitin-protein ligase msl2
PF01327	1	polypeptide deformylase
PF09032	1	siah interacting protein, n terminal 
PF03629	1	carbohydrate esterase, sialic acid-specific acetylesterase
PF06969	1	hemn c-terminal domain
PF06883	1	rna polymerase i, rpa2 specific domain 
PF08318	1	cog4 transport protein
PF18826	1	bacteroidetes vlrf1 release factor
PF18716	1	vms1-associating treble clef domain
PF08168	1	nuc205 domain
PF13673	1	acetyltransferase (gnat) domain
PF10258	1	phax rna-binding domain
PF12643	1	mazg-like family
PF17407	1	nrap protein domain 6
PF17406	1	nrap protein pap/oas1-like domain 5
PF17405	1	nrap protein nucleotidyltransferase domain 4
PF17404	1	nrap protein domain 3
PF17403	1	nrap protein pap/oas-like domain
PF03813	1	nrap protein domain 1
PF09170	1	cst, suppressor of cdc thirteen homolog, complex subunit stn1
PF08146	1	bp28ct (nuc211) domain
PF13439	1	glycosyltransferase family 4
PF08941	1	usp8 interacting
PF04265	1	thiamin pyrophosphokinase, vitamin b1 binding domain
PF04263	1	thiamin pyrophosphokinase, catalytic domain
PF05837	1	centromere protein h (cenp-h)
PF08939	1	domain of unknown function (duf1917)
PF01715	1	ipp transferase
PF00590	1	tetrapyrrole (corrin/porphyrin) methylases
PF05198	1	translation initiation factor if-3, n-terminal domain
PF16679	1	dna replication factor cdt1 c-terminal domain
PF08839	1	dna replication factor cdt1 like
PF19521	1	anaphase-promoting complex subunit 1 n-terminal
PF18122	1	anaphase-promoting complex sub unit 1 c-terminal domain 
PF18192	1	dnttip1 dimerisation domain
PF08925	1	domain of unknown function (duf1907)
PF16764	1	sharpin ph domain
PF05127	1	helicase
PF14565	1	interleukin 22 il-10-related t-cell-derived-inducible factor
PF10187	1	fam192a/fyv6, n-terminal domain
PF19285	1	neuromedin-u receptor 2, c-terminal
PF12934	1	fto c-terminal domain
PF12933	1	fto catalytic domain
PF11465	1	natural killer cell receptor 2b4
PF17835	1	nog1 n-terminal helical domain
PF08155	1	nogct (nuc087) domain
PF08236	1	sri (set2 rpb1 interacting) domain
PF12196	1	fha ki67 binding domain of hnifk
PF01281	1	ribosomal protein l9, n-terminal domain
PF19745	1	alpha-(1,6)-fucosyltransferase n- and catalytic domains
PF01725	1	ham1 family
PF12066	1	serrate/ars2, n-terminal domain
PF03962	1	mnd1 hth domain
PF09649	1	histone chaperone domain chz
PF08294	1	tim21
PF09202	1	rio2, n-terminal
PF18115	1	dna repair protein crb2 tudor domain
PF18036	1	ubiquitin-like domain
PF14369	1	zinc-ribbon
PF03079	1	ard/ard' family
PF14881	1	tubulin domain
PF10644	1	misato segment ii tubulin-like domain
PF08221	1	rna polymerase iii subunit rpc82 helix-turn-helix domain
PF09637	1	med18 protein
PF10159	1	multiple myeloma tumor-associated
PF01928	1	cyth domain
PF17949	1	fancm pseudonuclease domain
PF09138	1	urm1 (ubiquitin related modifier)
PF13302	1	acetyltransferase (gnat) domain
PF18420	1	csn4/rpn5/eif3a helix turn helix domain
PF16860	1	chch-chch-like cx9c, ims import disulfide relay-system,
PF16922	1	dna replication complex gins protein sld5 c-terminus
PF09282	1	mago binding
PF10354	1	domain of unknown function (duf2431)
PF10180	1	wkf domain
PF12705	1	pd-(d/e)xk nuclease superfamily
PF10241	1	uncharacterized conserved protein
PF14784	1	c-terminal domain of the ecsit protein
PF01541	1	giy-yig catalytic domain
PF13691	1	trnase z endonuclease
PF16696	1	zinc finger fyve domain-containing protein 21 c-terminus
PF16979	1	sapk-interacting protein 1 (sin1), pleckstrin-homology
PF18474	1	family of unknown function (duf5614)
PF07000	1	protein of unknown function (duf1308)
PF19334	1	domain of unknown function (duf5920)
PF09454	1	vps23 core domain
PF03232	1	ubiquinone biosynthesis protein coq7
PF13401	1	aaa domain
PF14835	1	zf-ring of bard1-type protein
PF02965	1	vitamin b12 dependent methionine synthase, activation domain
PF02607	1	b12 binding domain
PF00809	1	pterin binding enzyme
PF08170	1	popld (nuc188) domain
PF16717	1	ribosome-associated complex head domain
PF01965	1	dj-1/pfpi family
PF18004	1	26s proteasome regulatory subunit rpn2 c-terminal domain
PF14500	1	dos2-interacting transcription regulator of rna-pol-ii
PF18279	1	werner helicase-interacting protein 1 ubiquitin-binding domain
PF12002	1	mgsa aaa+ atpase c terminal
PF13481	1	aaa domain
PF18282	1	rap80 n-terminal ubiquitin interaction motif
PF09256	1	baff-r, tall-1 binding
PF18432	1	extracellular cadherin domain
PF16737	1	phd finger protein 12 mrg binding domain
PF12627	1	probable rna and srmb- binding site of polymerase a
PF01743	1	poly a polymerase head domain
PF16551	1	putative nuclear localisation signal of quaking
PF16544	1	homodimerisation region of star domain protein
PF14599	1	zinc-ribbon
PF05495	1	chy zinc finger
PF14759	1	reductase c-terminal
PF17392	1	urocanase c-terminal domain
PF17391	1	urocanase n-terminal domain
PF01175	1	urocanase rossmann-like domain
PF11789	1	zinc-finger of the miz type in nse subunit
PF19729	1	f-box/lrr-repeat protein 18 c-terminal
PF14775	1	sperm tail c-terminal domain
PF13359	1	dde superfamily endonuclease
PF19718	1	ubiquitin carboxyl-terminal hydrolase 47 c-terminal
PF19437	1	vcip135 n-terminal
PF04721	1	pngase c-terminal domain, mannose-binding module paw
PF15909	1	c2h2-type zinc ribbon
PF11315	1	mediator complex subunit 30
PF15055	1	domain of unknown function (duf4536)
PF19016	1	domain of unknown function (duf5745)
PF09292	1	endonuclease viii-like 1, dna bind
PF01149	1	formamidopyrimidine-dna glycosylase n-terminal domain
PF17169	1	mit domain of nuclear receptor-binding factor 2
PF08961	1	nuclear receptor-binding factor 2, autophagy regulator
PF01923	1	cobalamin adenosyltransferase
PF07039	1	sgf29 tudor-like domain
PF17979	1	cysteine rich domain with multizinc binding regions
PF18486	1	pngase/uba- or ubx-containing domain
PF18091	1	e3 ubiquitin ligase rbr c-terminal domain
PF05625	1	paxneb protein
PF13392	1	hnh endonuclease
PF01765	1	ribosome recycling factor
PF13842	1	dde_tnp_1-like zinc-ribbon
PF01738	1	dienelactone hydrolase family
PF13902	1	r3h-associated n-terminal domain
PF02126	1	phosphotriesterase family
PF09004	1	domain of unknown function (duf1891)
PF14186	1	cytoskeletal adhesion
PF04457	1	mj1316 rna cyclic group end recognition domain
PF12770	1	chat domain
PF04048	1	sec8 exocyst complex component specific domain
PF10572	1	upf0556 domain
PF01687	1	riboflavin kinase
PF14763	1	hermansky-pudlak syndrome 3, c-terminal
PF14762	1	hermansky-pudlak syndrome 3, middle region
PF14761	1	hermansky-pudlak syndrome 3
PF10419	1	tfiiic subunit triple barrel domain
PF15216	1	thymic stromal lymphopoietin
PF07741	1	brf1-like tbp-binding domain
PF12656	1	g-patch domain
PF18323	1	cop9 signalosome subunit 5 c-terminal domain
